ticker
EYE
CGEN
RZLV
QTUM
COHR
QUBT
INFQ
LAES
QBTS
RGTI
IONQ
POET
LASR
SPY
LITE
RCAT
AVAV
ONDS
DPRO
SHLD
PDYN
ACHR
SPCX
IRDM
LDOS
VSAT
SATL
PL
BKSY
RKLB
ECHO
LUNR
MDA
TGEN
ETN
VRT
MPWR
WOLF
POWI
NVTS
CEG
TLN
FRMI
HVII
HOND
UUUU
LEU
NNE
OKLO
SMR
SBET
BMNR
CRCL
COIN
MSTR
HOOD
GLW
WULF
PSIX
CRWV
NBIS
CRWD
VERI
DDOG
INTU
SE
ZETA
PLTR
NOW
INOD
PATH
CRM
WDAY
AI
CCUP
RXRX
CRML
QQQ
PANW





